공분산,삼성전자,SK하이닉스,셀트리온,현대차,POSCO,LG화학,NAVER,KB금융,삼성생명,현대모비스,신한지주,SK,한국전력,SK이노베이션,SK텔레콤,LG생활건강,LG전자,아모레퍼시픽,LG,롯데케미칼,하나금융지주,S-Oil,KT&G,삼성SDI,기아차,삼성화재,아모레G,우리은행,카카오,LG디스플레이,현대중공업,고려아연,기업은행,엔씨소프트,이마트,KT,한국타이어,현대제철,코웨이,롯데쇼핑,강원랜드,한화생명,한미사이언스,현대글로비스,CJ,한국항공우주
삼성전자,0.004124616,0.001539008,-0.001319449,0.000549378,0.000423642,0.000443873,0.002138066,0.001304054,0.000770076,0.000303858,0.000626904,0.000286146,-0.000312375,0.001550246,-6.12242E-05,0.001399893,0.000553525,0.000623721,-0.000157744,7.35928E-05,0.001723434,0.001584484,-0.000455597,0.000888428,0.000316172,0.000864269,0.000590124,0.005103206,-0.000994419,0.000639841,0.000927217,0.000660386,0.000867812,0.00061468,-0.000287695,-6.17229E-05,0.000797617,0.000585066,-0.000274353,-0.001209672,-0.000477694,0.00043864,-0.001710633,-0.000687603,-0.001837861,0.001075385
SK하이닉스,0.001539008,0.00636383,-0.001778768,6.40364E-05,-0.000170357,-0.001079722,0.000972749,0.000583262,-8.8938E-05,-0.000891351,-0.000625646,0.000190079,-0.001543747,-0.000455826,0.000343186,-0.000944547,0.00089757,-0.002496141,-0.000572465,-0.001021473,0.000266493,-0.001107352,-0.000595928,0.000557638,-0.001054731,0.000337985,-0.001932079,-0.001187708,0.000156238,0.002135928,-8.24707E-05,0.000920347,9.43836E-05,0.001856212,0.000286338,-0.000585438,0.000485275,0.000270293,-0.000347902,0.000544643,-0.000534752,-0.00075613,-0.004045551,0.00058544,-0.001210635,-0.001908508
셀트리온,-0.001319449,-0.001778768,0.043156563,0.000302362,2.90539E-05,0.002432557,-0.002729405,-0.000796727,-0.001555701,0.002159094,-0.000644366,-0.000838293,-0.001928662,0.002668955,-0.000221392,0.0005487,0.000200906,0.005697991,0.001396656,0.000971489,0.000365809,0.000211219,-0.000424087,0.000584256,-0.000494325,-0.003402541,0.003847978,-0.019299617,-0.002014902,-0.000285646,0.002650006,-0.001823182,0.000343454,0.000224932,-0.000976617,0.000420944,0.000786776,-2.15079E-06,-0.000685834,0.000410606,-0.001235896,-0.001108317,0.010504794,-0.001077377,0.000536413,0.002597309
현대차,0.000549378,6.40364E-05,0.000302362,0.00445433,0.00015984,0.001690627,0.000935338,0.000714908,0.000504842,0.002702967,0.000757196,0.000278009,-0.000485394,-0.00023867,0.001060911,8.50906E-05,0.00133812,0.001234189,0.000897841,0.00099196,0.000768068,0.000521479,0.000876279,0.002876422,0.002498653,0.000375009,0.000573386,0.010757642,-0.000342397,0.001459081,0.002496557,-0.000332382,0.000469103,-0.000397389,0.000835079,0.000613262,0.000694507,0.00120438,3.21356E-05,0.000938755,0.000874678,0.000137428,-0.003134615,0.001047361,-0.0014458,-0.00103077
POSCO,0.000423642,-0.000170357,2.90539E-05,0.00015984,0.00451019,0.001892986,0.00013113,0.001568846,0.000593574,0.000558053,0.00163816,-0.000122625,0.000973967,0.001783852,0.000529368,-0.001067318,0.001134149,0.000150976,0.001375474,0.001652769,0.002405449,0.001359731,0.000162812,0.00130429,0.000673099,0.000659054,0.000434071,-0.00107615,0.000334991,0.000937351,0.002502595,0.000975586,0.001375929,-0.000838371,0.000551369,0.001043558,0.000383637,0.002966631,-0.000430874,0.000377061,0.000519371,0.001132226,-0.00478283,6.93174E-05,-0.001072108,-0.000598678
LG화학,0.000443873,-0.001079722,0.002432557,0.001690627,0.001892986,0.008255173,0.001663591,0.000828361,0.000160673,0.001498101,0.00166821,5.12945E-05,0.00016131,0.003556962,0.000964556,-0.000348209,0.00195259,0.003161135,0.00327168,0.004570568,0.001672753,0.003848434,0.000454653,0.00484219,0.001596346,0.000279782,0.002668316,0.005245512,0.001311722,0.000905452,0.003368984,0.001073481,0.00092731,-0.000666806,0.000387475,0.001094647,0.000522087,0.002455068,-0.000474009,0.000570999,-0.000317249,0.000457714,0.000869055,0.001455528,-0.000761385,-0.000929445
NAVER,0.002138066,0.000972749,-0.002729405,0.000935338,0.00013113,0.001663591,0.011509922,0.001014022,0.000913605,0.001243444,0.00050488,0.002074988,0.000558423,0.000922761,0.000182507,-0.000341519,0.000411417,0.002443816,0.001390387,-6.3819E-05,0.001018169,0.000884113,-0.000642314,0.001975248,0.001428344,0.000985834,0.002172857,-0.004994114,-0.000503703,0.000306876,0.003021769,0.000896943,0.000422701,0.00013159,-0.000404513,-0.000313926,0.000230117,0.001531908,9.98512E-06,-0.000924588,-0.00109907,0.000123846,-0.001355079,0.001102058,-0.000526938,0.000110325
KB금융,0.001304054,0.000583262,-0.000796727,0.000714908,0.001568846,0.000828361,0.001014022,0.003630183,0.000583264,0.000864626,0.001917175,0.000736475,-0.000240238,0.00118142,0.000502637,0.001092546,0.000275837,0.000684414,0.000320957,0.000453993,0.003602357,0.000228355,0.000454937,0.001702873,0.000484291,0.000489091,0.000849241,-0.015037509,0.000353328,0.000372026,0.000540066,0.000498218,0.00216087,-5.14055E-05,0.000935468,0.000927944,0.00015981,0.001904581,-0.001016502,0.001139652,0.000301611,0.001473613,-0.003890191,0.000173562,0.000101419,-0.000105163
삼성생명,0.000770076,-8.8938E-05,-0.001555701,0.000504842,0.000593574,0.000160673,0.000913605,0.000583264,0.002856412,0.000535771,0.000764391,0.000403491,0.000141304,0.000750079,-4.92043E-05,0.001337888,0.000129059,-9.73008E-05,0.00015696,0.000214076,0.000803579,0.000479254,5.14619E-05,-0.000390431,0.001039303,0.001433864,-0.000256496,0.008571818,0.000277949,-0.000471792,0.000459677,0.000645845,0.000819884,-0.000240698,0.000242502,4.34565E-05,0.000235462,0.000549076,0.000199701,-7.55339E-05,3.51666E-05,0.002027439,-0.002342058,0.000626866,0.000623101,0.00138504
현대모비스,0.000303858,-0.000891351,0.002159094,0.002702967,0.000558053,0.001498101,0.001243444,0.000864626,0.000535771,0.004472313,0.001167615,0.000388561,-0.000709339,0.000378157,0.000522161,0.001428361,0.001054627,0.002386452,0.001645229,0.00112719,0.000898843,0.000951332,0.000923338,0.002772286,0.001890106,0.000368844,0.001958678,-0.00270191,8.22523E-05,0.000605989,0.00168318,-6.61924E-05,0.000593364,-0.001250187,-3.13497E-05,0.000553142,0.000965609,0.001340418,0.000113237,0.000167256,0.001445046,0.001043851,-0.001674385,0.001252152,0.000750379,-0.000136205
신한지주,0.000626904,-0.000625646,-0.000644366,0.000757196,0.00163816,0.00166821,0.00050488,0.001917175,0.000764391,0.001167615,0.002284582,0.000523399,6.53798E-05,0.001143198,0.00063327,0.000475047,0.000217561,0.00114362,0.000569798,0.001743432,0.002828385,0.000896404,0.000471153,0.001532289,0.000814414,0.000792163,0.001460894,-0.002555002,0.001263455,0.00029949,0.000974903,0.000852325,0.001692766,-0.00023684,0.000379192,0.000878959,0.000760979,0.001598942,-0.000304687,0.000935249,0.000374997,0.0015973,-0.003276509,0.000451676,0.000270708,6.74299E-05
SK,0.000286146,0.000190079,-0.000838293,0.000278009,-0.000122625,5.12945E-05,0.002074988,0.000736475,0.000403491,0.000388561,0.000523399,0.006356004,0.000804182,-0.000248836,0.001257539,0.000320933,-0.000576838,0.003024702,0.001378403,1.98138E-05,0.001121477,-0.000636278,0.000266945,-0.000372218,-0.000131787,0.001118375,0.003698296,-0.019842219,0.00201023,-6.13517E-05,0.000513115,0.000104011,0.001053909,0.000261481,0.000382864,0.000417142,-4.98056E-05,0.000268163,0.000131577,-0.000747545,0.001317491,0.000411385,0.003195798,0.000212143,0.002471606,0.002422758
한국전력,-0.000312375,-0.001543747,-0.001928662,-0.000485394,0.000973967,0.00016131,0.000558423,-0.000240238,0.000141304,-0.000709339,6.53798E-05,0.000804182,0.003866395,-0.000238768,0.000682121,-4.18121E-05,-0.000311666,0.001502394,0.000404541,-0.000169431,-3.69081E-05,0.000266733,0.000893593,-0.001433775,-0.000104957,0.000691119,0.002017014,-0.002984056,-0.00050527,-0.00080264,0.000441485,4.99664E-05,0.000154817,-0.001218927,0.000138093,0.0008716,-0.000264383,0.000374294,0.00105212,-0.000422028,0.001104031,-6.73555E-05,-0.001262693,2.09661E-05,0.000123078,0.001368089
SK이노베이션,0.001550246,-0.000455826,0.002668955,-0.00023867,0.001783852,0.003556962,0.000922761,0.00118142,0.000750079,0.000378157,0.001143198,-0.000248836,-0.000238768,0.007491433,-4.06089E-05,4.73597E-05,0.001183574,0.000647393,0.000719289,0.004728997,0.00220343,0.005532479,-0.000391896,0.001405086,0.00031409,0.000371424,0.000626764,-0.004757264,0.000117078,0.000420189,0.001491149,0.001483806,0.000791695,0.002926461,-0.000372641,0.000653167,0.001437949,0.00093015,-0.000710894,-0.000834934,-0.000828172,0.000715769,-3.47988E-05,-0.00146434,-0.00067754,-0.000121838
SK텔레콤,-6.12242E-05,0.000343186,-0.000221392,0.001060911,0.000529368,0.000964556,0.000182507,0.000502637,-4.92043E-05,0.000522161,0.00063327,0.001257539,0.000682121,-4.06089E-05,0.003072182,-0.000820276,0.000406016,0.002706839,0.001252027,0.001172786,0.000871834,0.000392015,0.000402386,0.000622123,0.000686664,0.000517185,0.002786108,0.007973444,0.001057624,0.001361428,0.001413329,-0.000195382,0.000700561,-0.000412228,0.000421872,0.001443248,0.000318544,0.000920954,0.000249345,0.000153674,0.000506643,-0.000137596,-0.001380735,0.000583258,-0.000203093,0.000136017
LG생활건강,0.001399893,-0.000944547,0.0005487,8.50906E-05,-0.001067318,-0.000348209,-0.000341519,0.001092546,0.001337888,0.001428361,0.000475047,0.000320933,-4.18121E-05,4.73597E-05,-0.000820276,0.00754514,0.000548978,0.003120057,0.000252223,-0.000216228,0.000117027,0.000304764,0.001970448,0.001602886,0.000734769,0.000405284,0.003700497,-0.003540255,0.001133748,-0.001095132,-0.001160024,0.000292834,0.000391143,0.000264038,0.000939916,-0.000175205,0.00037757,0.000884015,0.001207342,-0.000606344,0.000412339,0.002061316,0.004609283,2.20073E-05,0.002016489,0.002607308
LG전자,0.000553525,0.00089757,0.000200906,0.00133812,0.001134149,0.00195259,0.000411417,0.000275837,0.000129059,0.001054627,0.000217561,-0.000576838,-0.000311666,0.001183574,0.000406016,0.000548978,0.006831736,0.001532639,0.002841632,0.000579294,-0.000208929,0.000779099,-0.000136926,0.003497367,0.00142303,0.000334969,0.002270247,-0.007269235,0.00074536,0.002497103,-1.2453E-06,9.77922E-05,0.000207279,0.000706721,-0.000845862,-0.000106897,0.000397493,0.001537552,0.000629052,0.001100294,-0.00053071,-0.000686836,-0.003988567,-0.000185983,-0.000375063,-0.001298906
아모레퍼시픽,0.000623721,-0.002496141,0.005697991,0.001234189,0.000150976,0.003161135,0.002443816,0.000684414,-9.73008E-05,0.002386452,0.00114362,0.003024702,0.001502394,0.000647393,0.002706839,0.003120057,0.001532639,0.021453295,0.003177213,0.00203361,0.000750269,0.00155979,0.002106259,0.000712307,0.001654511,-0.00043017,0.020732285,0.015980843,0.00071307,0.000396058,0.001295696,0.000549523,0.001112253,-0.000425811,-0.000749266,0.001743522,-0.000646531,0.00131746,0.001074432,-3.43453E-05,-0.00076982,0.000479566,-0.001121793,0.0003437,-0.00081482,0.003989499
LG,-0.000157744,-0.000572465,0.001396656,0.000897841,0.001375474,0.00327168,0.001390387,0.000320957,0.00015696,0.001645229,0.000569798,0.001378403,0.000404541,0.000719289,0.001252027,0.000252223,0.002841632,0.003177213,0.004016302,0.000836649,0.000490908,0.001164886,0.000615492,0.002382311,0.001352835,0.000653802,0.003112621,0.003100527,0.001212278,0.001644682,0.001702507,0.000243669,0.000559972,-0.000471187,-0.000223,0.000802556,-9.37515E-05,0.001531307,0.000400977,0.00031366,0.000491196,9.99494E-05,0.000420788,0.001160054,0.000902921,0.000351302
롯데케미칼,7.35928E-05,-0.001021473,0.000971489,0.00099196,0.001652769,0.004570568,-6.3819E-05,0.000453993,0.000214076,0.00112719,0.001743432,1.98138E-05,-0.000169431,0.004728997,0.001172786,-0.000216228,0.000579294,0.00203361,0.000836649,0.010575916,0.001403551,0.004444183,0.000247711,0.002279012,0.000308256,0.000113583,0.002005143,0.039648264,0.001026893,0.000940876,0.003131343,0.002829756,0.000878313,0.001600819,0.001030208,0.000272899,0.001143843,0.002574959,-0.000136128,0.000574341,-0.000593613,0.000787188,0.004094639,-9.71392E-05,0.000598451,-0.001471229
하나금융지주,0.001723434,0.000266493,0.000365809,0.000768068,0.002405449,0.001672753,0.001018169,0.003602357,0.000803579,0.000898843,0.002828385,0.001121477,-3.69081E-05,0.00220343,0.000871834,0.000117027,-0.000208929,0.000750269,0.000490908,0.001403551,0.005906449,0.001702897,1.02444E-05,0.001049386,0.000595865,0.000775831,0.001009601,-0.016576075,0.001294641,0.000881219,0.001530786,0.001275802,0.002989584,0.000159592,0.000836451,0.001563972,0.000631585,0.002024937,-0.001368271,0.00097874,0.000396777,0.001935574,-0.003546284,0.000172467,-0.000293343,-0.000118316
S-Oil,0.001584484,-0.001107352,0.000211219,0.000521479,0.001359731,0.003848434,0.000884113,0.000228355,0.000479254,0.000951332,0.000896404,-0.000636278,0.000266733,0.005532479,0.000392015,0.000304764,0.000779099,0.00155979,0.001164886,0.004444183,0.001702897,0.007987476,-0.000779938,0.001031955,5.01903E-05,0.00038492,0.001398921,0.005439605,0.0008508,0.000710692,0.001970433,0.001429577,-1.50455E-06,0.002042403,-0.000293437,0.000744163,0.000498356,0.00122796,-5.79787E-05,-0.001147155,8.17156E-05,0.000822461,-0.001476852,-0.001188623,-0.001215565,-0.000665457
